drmin,drmax,selection,output_file,reduction_factor
0.01,0.2000,0.0100,wzp6_ee_Henueqq_ecm125.root,0.2022011111111111
0.01,0.2000,0.0100,wzp6_ee_Hqqenue_ecm125.root,0.224661
0.01,0.2000,0.0100,wzp6_ee_Hmunumuqq_ecm125.root,0.142224
0.01,0.2000,0.0100,wzp6_ee_Hqqmunumu_ecm125.root,0.161635
0.01,0.2000,0.0100,wzp6_ee_Htaunutauqq_ecm125.root,0.710293
0.01,0.2000,0.0100,wzp6_ee_Hqqtaunutau_ecm125.root,0.748753
0.01,0.2000,0.0200,wzp6_ee_Henueqq_ecm125.root,0.15928333333333333
0.01,0.2000,0.0200,wzp6_ee_Hqqenue_ecm125.root,0.188136
0.01,0.2000,0.0200,wzp6_ee_Hmunumuqq_ecm125.root,0.115641
0.01,0.2000,0.0200,wzp6_ee_Hqqmunumu_ecm125.root,0.13656
0.01,0.2000,0.0200,wzp6_ee_Htaunutauqq_ecm125.root,0.704743
0.01,0.2000,0.0200,wzp6_ee_Hqqtaunutau_ecm125.root,0.745542
0.01,0.2000,0.0300,wzp6_ee_Henueqq_ecm125.root,0.13736333333333334
0.01,0.2000,0.0300,wzp6_ee_Hqqenue_ecm125.root,0.160795
0.01,0.2000,0.0300,wzp6_ee_Hmunumuqq_ecm125.root,0.100354
0.01,0.2000,0.0300,wzp6_ee_Hqqmunumu_ecm125.root,0.12078
0.01,0.2000,0.0300,wzp6_ee_Htaunutauqq_ecm125.root,0.700172
0.01,0.2000,0.0300,wzp6_ee_Hqqtaunutau_ecm125.root,0.741853
0.01,0.2000,0.0400,wzp6_ee_Henueqq_ecm125.root,0.12399777777777778
0.01,0.2000,0.0400,wzp6_ee_Hqqenue_ecm125.root,0.145957
0.01,0.2000,0.0400,wzp6_ee_Hmunumuqq_ecm125.root,0.090164
0.01,0.2000,0.0400,wzp6_ee_Hqqmunumu_ecm125.root,0.109481
0.01,0.2000,0.0400,wzp6_ee_Htaunutauqq_ecm125.root,0.697222
0.01,0.2000,0.0400,wzp6_ee_Hqqtaunutau_ecm125.root,0.739067
0.01,0.2000,0.0500,wzp6_ee_Henueqq_ecm125.root,0.11448
0.01,0.2000,0.0500,wzp6_ee_Hqqenue_ecm125.root,0.135335
0.01,0.2000,0.0500,wzp6_ee_Hmunumuqq_ecm125.root,0.08271
0.01,0.2000,0.0500,wzp6_ee_Hqqmunumu_ecm125.root,0.101013
0.01,0.2000,0.0500,wzp6_ee_Htaunutauqq_ecm125.root,0.695058
0.01,0.2000,0.0500,wzp6_ee_Hqqtaunutau_ecm125.root,0.73719
0.01,0.2000,0.0600,wzp6_ee_Henueqq_ecm125.root,0.10709555555555555
0.01,0.2000,0.0600,wzp6_ee_Hqqenue_ecm125.root,0.126793
0.01,0.2000,0.0600,wzp6_ee_Hmunumuqq_ecm125.root,0.076848
0.01,0.2000,0.0600,wzp6_ee_Hqqmunumu_ecm125.root,0.094241
0.01,0.2000,0.0600,wzp6_ee_Htaunutauqq_ecm125.root,0.693433
